"id","city_id","name","slug"
"205","28049","Public Safety","public-safety-1"
"206","28049","City Clerk","city-clerk-12"
"207","28049","City Manager","city-manager-13"
"208","28049","Human Resources","human-resources-8"
"209","28049","Recreation Services","recreation-services"
"210","28052","Finance","finance-16"
"211","28052","Public Works","public-works-18"
"212","28052","Community Development","community-development-12"
"213","28052","Community Services","community-services-11"
"214","28052","Fire","fire-15"
"215","28052","Police","police-12"
"216","28052","Administrative Services","administrative-services-5"
"217","28052","City Clerk","city-clerk-13"
"218","28053","Finance","finance-17"
"219","28053","Public Works","public-works-19"
"220","28053","Development Service","development-service"
"221","28053","City Manager","city-manager-14"
"222","28053","Fire","fire-16"
"223","28056","Library","library-2"
"224","28056","Finance","finance-18"
"225","28056","City Clerk","city-clerk-14"
"226","28056","Engineering & Public Works","engineering-public-works"
"227","28056","Fire","fire-17"
"228","28056","Human Resources","human-resources-9"
"229","28056","Neighborhood Services","neighborhood-services-3"
"230","28056","Police","police-13"
"231","28056","Planning","planning-2"
"232","28056","City Manager","city-manager-15"
"233","28056","Housing & Economic Development","housing-economic-development"
"234","28056","City Attorney","city-attorney-8"
"235","28056","Information Technology Services","information-technology-services-1"
"236","28056","Community Services","community-services-12"
"237","28073","Financial Services","financial-services-1"
"238","28073","Fire","fire-18"
"239","28073","Library","library-3"
"240","28073","Neighborhood Services","neighborhood-services-4"
"241","28073","Public Works","public-works-20"
"242","28073","Development Services","development-services-4"
"243","28073","Water Utilities","water-utilities-1"
"244","28073","City Clerk","city-clerk-15"
"245","28073","Police","police-14"
"246","28073","City Manager","city-manager-16"
"247","28073","City Attorney","city-attorney-9"
"248","28073","Human Resources","human-resources-10"
"249","28073","City Treasurer","city-treasurer-5"
"250","28078","Finance","finance-19"
"251","28078","Community Services","community-services-13"
"252","28078","Legislative and Administrative","legislative-and-administrative"
"253","28078","Development Services","development-services-5"
"254","28078","Public Works","public-works-21"
"255","28078","Safety Services","safety-services"
"256","28078","Human Resources","human-resources-11"
"257","28083","Finance","finance-20"
"258","28083","Development Services","development-services-6"
"259","28083","Parks and Recreation","parks-and-recreation-1"
"260","28083","Public Works","public-works-22"
"261","28083","Fire","fire-19"
